Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_285_2577,VGND,li1,1191.8600,788.8000,0.000000
FILLER_285_2573,VGND,li1,1189.7900,788.8000,0.000000
FILLER_285_2561,VGND,li1,1186.3400,788.8000,0.000000
FILLER_285_2549,VGND,li1,1180.8200,788.8000,0.000000
FILLER_285_2545,VGND,li1,1176.9100,788.8000,0.000000
FILLER_285_2533,VGND,li1,1173.4600,788.8000,0.000000
FILLER_285_2521,VGND,li1,1167.9400,788.8000,0.000000
FILLER_285_2517,VGND,li1,1164.0300,788.8000,0.000000
FILLER_285_2505,VGND,li1,1160.5800,788.8000,0.000000
FILLER_285_2493,VGND,li1,1155.0600,788.8000,0.000000
FILLER_285_2489,VGND,li1,1151.1500,788.8000,0.000000
FILLER_285_2477,VGND,li1,1147.7000,788.8000,0.000000
FILLER_285_2465,VGND,li1,1142.1800,788.8000,0.000000
FILLER_285_2461,VGND,li1,1138.2700,788.8000,0.000000
FILLER_285_2449,VGND,li1,1134.8200,788.8000,0.000000
FILLER_285_2437,VGND,li1,1129.3000,788.8000,0.000000
FILLER_285_2433,VGND,li1,1125.3900,788.8000,0.000000
FILLER_285_2421,VGND,li1,1121.9400,788.8000,0.000000
FILLER_285_2409,VGND,li1,1116.4200,788.8000,0.000000
FILLER_285_2405,VGND,li1,1112.5100,788.8000,0.000000
FILLER_285_2393,VGND,li1,1109.0600,788.8000,0.000000
FILLER_285_2381,VGND,li1,1103.5400,788.8000,0.000000
FILLER_285_2377,VGND,li1,1099.6300,788.8000,0.000000
FILLER_285_2365,VGND,li1,1096.1800,788.8000,0.000000
FILLER_285_2353,VGND,li1,1090.6600,788.8000,0.000000
FILLER_285_2349,VGND,li1,1086.7500,788.8000,0.000000
FILLER_285_2337,VGND,li1,1083.3000,788.8000,0.000000
FILLER_285_2325,VGND,li1,1077.7800,788.8000,0.000000
FILLER_285_2321,VGND,li1,1073.8700,788.8000,0.000000
FILLER_285_2309,VGND,li1,1070.4200,788.8000,0.000000
FILLER_285_2297,VGND,li1,1064.9000,788.8000,0.000000
FILLER_285_2293,VGND,li1,1060.9900,788.8000,0.000000
