Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_229_1167,VPWR,li1,542.5700,633.7600,1.800000
FILLER_229_1161,VPWR,li1,540.9600,633.7600,1.800000
FILLER_229_1149,VPWR,li1,536.8200,633.7600,1.800000
FILLER_229_1145,VPWR,li1,532.9100,633.7600,1.800000
FILLER_229_1133,VPWR,li1,529.4600,633.7600,1.800000
FILLER_229_1121,VPWR,li1,523.9400,633.7600,1.800000
FILLER_229_1117,VPWR,li1,520.0300,633.7600,1.800000
FILLER_229_1105,VPWR,li1,516.5800,633.7600,1.800000
FILLER_229_1093,VPWR,li1,511.0600,633.7600,1.800000
FILLER_229_1089,VPWR,li1,507.1500,633.7600,1.800000
FILLER_229_1077,VPWR,li1,503.7000,633.7600,1.800000
FILLER_229_1065,VPWR,li1,498.1800,633.7600,1.800000
FILLER_229_1061,VPWR,li1,494.2700,633.7600,1.800000
FILLER_229_1049,VPWR,li1,490.8200,633.7600,1.800000
FILLER_229_1037,VPWR,li1,485.3000,633.7600,1.800000
FILLER_229_1033,VPWR,li1,481.3900,633.7600,1.800000
FILLER_229_1021,VPWR,li1,477.9400,633.7600,1.800000
FILLER_229_1009,VPWR,li1,472.4200,633.7600,1.800000
FILLER_229_1005,VPWR,li1,468.5100,633.7600,1.800000
FILLER_229_993,VPWR,li1,465.0600,633.7600,1.800000
FILLER_229_981,VPWR,li1,459.5400,633.7600,1.800000
FILLER_229_977,VPWR,li1,455.6300,633.7600,1.800000
FILLER_229_965,VPWR,li1,452.1800,633.7600,1.800000
FILLER_229_953,VPWR,li1,446.6600,633.7600,1.800000
FILLER_229_949,VPWR,li1,442.7500,633.7600,1.800000
FILLER_229_937,VPWR,li1,439.3000,633.7600,1.800000
FILLER_229_925,VPWR,li1,433.7800,633.7600,1.800000
FILLER_229_921,VPWR,li1,429.8700,633.7600,1.800000
FILLER_229_909,VPWR,li1,426.4200,633.7600,1.800000
FILLER_229_897,VPWR,li1,420.9000,633.7600,1.800000
FILLER_229_893,VPWR,li1,416.9900,633.7600,1.800000
FILLER_229_881,VPWR,li1,413.5400,633.7600,1.800000
FILLER_229_869,VPWR,li1,408.0200,633.7600,1.800000
FILLER_229_865,VPWR,li1,404.1100,633.7600,1.800000
FILLER_229_853,VPWR,li1,400.6600,633.7600,1.800000
FILLER_229_841,VPWR,li1,395.1400,633.7600,1.800000
FILLER_229_837,VPWR,li1,391.2300,633.7600,1.800000
FILLER_229_825,VPWR,li1,387.7800,633.7600,1.800000
FILLER_229_813,VPWR,li1,382.2600,633.7600,1.800000
FILLER_229_809,VPWR,li1,378.3500,633.7600,1.800000
FILLER_229_797,VPWR,li1,374.9000,633.7600,1.800000
FILLER_229_785,VPWR,li1,369.3800,633.7600,1.800000
FILLER_229_781,VPWR,li1,365.4700,633.7600,1.800000
FILLER_229_769,VPWR,li1,362.0200,633.7600,1.800000
