net,length_um
net71,741.8µm
net70,721.34µm
net69,715.24µm
clknet_0_clk,682.3µm
net68,673.04µm
net72,656.46µm
net82,655.32µm
net81,652.57µm
net73,648.75µm
net80,624.74µm
clk,621.04µm
net74,618.98µm
net79,592.74µm
net75,581.04µm
net78,579.32µm
net76,573.8µm
net77,560.895µm
sine_out_temp1\[0\],555.76µm
clknet_2_2__leaf_clk,505.58µm
clknet_2_0__leaf_clk,483.21µm
net104,461.66µm
net106,458.04µm
net91,439.31µm
net85,415.88µm
net87,411.21µm
clknet_2_3__leaf_clk,377.96µm
net113,364.04µm
net94,298.45µm
net101,295.22µm
net99,282.17µm
net84,277.495µm
net41,232.11µm
net39,227.68µm
net50,226.13µm
net49,217.51µm
net38,215.34µm
net40,214.99µm
net37,206.81µm
net97,203.68µm
clknet_2_1__leaf_clk,197.3µm
net47,195.05µm
net36,191.87µm
net45,190.62µm
net46,187.56µm
net7,185.4µm
net8,179.22µm
net9,176.28µm
net48,174.73µm
net98,172.54µm
net43,171.37µm
net6,169.12µm
net100,168.3µm
net42,166.17µm
net4,161.595µm
net5,160.99µm
net3,157.715µm
net29,157.11µm
net28,154.38µm
net44,152.65µm
net35,149.72µm
net27,146.63µm
net63,144.56µm
net19,142.15µm
net26,140.46µm
net1,134.73µm
net62,134.18µm
net10,133.4µm
net59,132.72µm
net60,132.1µm
net112,130.72µm
net64,129.7µm
net61,128.55µm
net65,127.96µm
net2,126.75µm
sine_out_temp0\[9\],124.505µm
sine_out_temp0\[7\],123.825µm
sine_out_temp0\[8\],123.465µm
_012_,119.74µm
sine_out_temp0\[6\],119.595µm
sine_out_temp0\[11\],116.38µm
net66,115.06µm
sine_out_temp0\[12\],114.785µm
_013_,112.82µm
sine_out_temp0\[10\],112.7µm
net53,112.62µm
sine_out_temp0\[15\],112.535µm
sine_out_temp0\[14\],111.365µm
net54,108.64µm
net83,108.38µm
net52,107.66µm
sine_out_temp0\[13\],107.18µm
net67,104.04µm
net111,103.96µm
sine_out_temp0\[2\],100.825µm
_001_,99.72µm
sine_out_temp0\[3\],99.58µm
_014_,99.24µm
sine_out_temp0\[4\],99µm
net51,98.94µm
_015_,98.4µm
sine_out_temp0\[0\],98.385µm
sine_out_temp0\[5\],98.265µm
net55,96.94µm
sine_out_temp0\[1\],96.875µm
net56,91.68µm
net17,89.795µm
_002_,86.44µm
net57,86.1µm
_009_,84.24µm
_011_,80.26µm
_003_,78.58µm
_004_,77.46µm
_010_,76.02µm
net86,74.57µm
_057_,73.5µm
_005_,71.62µm
net89,71.58µm
_006_,71.12µm
_008_,67.52µm
net58,66.08µm
_052_,63.9µm
net90,61.855µm
net103,60.9µm
net105,60.26µm
_007_,57.78µm
net108,57.52µm
_000_,51.46µm
net18,44.945µm
_047_,44.88µm
net12,43.515µm
net13,43.49µm
net16,43.01µm
net11,42.645µm
net14,42.43µm
net15,42.23µm
tcout\[7\],41.81µm
_050_,41.62µm
_042_,41.52µm
net110,39.56µm
net23,39.27µm
net33,38.99µm
net32,38.73µm
_045_,38.53µm
net22,38.1µm
net31,37.79µm
net30,37.73µm
net21,37.66µm
net25,37.64µm
net24,37.62µm
net20,37.48µm
net34,37.38µm
_044_,36.21µm
tcout\[5\],36.04µm
tcout\[6\],32.14µm
_046_,31.75µm
tcout\[3\],29.1µm
_043_,28.91µm
tcout\[8\],27.94µm
net93,25.36µm
sine_out_temp1\[6\],24.855µm
net109,24.8µm
